,Instrument,Ticker,Date,% change,open,high,low,close
0,Gold,GC,2012-11-21,0.10400416016639724,1730.7,1734.8,1730.7,1732.5
1,Gold,GC,2012-11-22,1.3339492983773198,1731.7,1757.1,1730.0,1754.8
2,Gold,GC,2012-11-25,-0.19376531600843805,1754.7,1754.7,1748.3,1751.3
3,Gold,GC,2012-11-26,-0.40534368577300484,1751.6,1754.2,1742.8,1744.5
4,Gold,GC,2012-11-27,-1.3073394495412884,1744.0,1745.5,1707.9,1721.2
5,Gold,GC,2012-11-28,0.33683721470468697,1721.9,1731.2,1720.1,1727.7
6,Gold,GC,2012-11-29,-0.6135324419748827,1727.7,1733.7,1710.2,1717.1
7,Gold,GC,2012-12-02,0.12824249489945316,1715.5,1724.9,1714.2,1717.7
8,Gold,GC,2012-12-03,-1.1061302905047512,1717.7,1719.2,1692.6,1698.7
9,Gold,GC,2012-12-04,-0.28250250132423105,1699.1,1708.3,1686.0,1694.3
10,Gold,GC,2012-12-05,0.30676656244469314,1695.1,1704.8,1687.1,1700.3
11,Gold,GC,2012-12-06,0.293944738389186,1701.0,1706.9,1684.1,1706.0
12,Gold,GC,2012-12-09,0.46909815878971983,1705.4,1718.8,1703.3,1713.4
13,Gold,GC,2012-12-10,-0.16918499504112106,1714.1,1715.8,1706.0,1711.2
14,Gold,GC,2012-12-11,0.12855723718810452,1711.3,1725.0,1708.5,1713.5
15,Gold,GC,2012-12-12,-0.875758991125636,1712.8,1713.2,1690.7,1697.8
16,Gold,GC,2012-12-13,-0.11776482364717822,1698.3,1701.9,1694.0,1696.3
17,Gold,GC,2012-12-16,0.04710315591144365,1698.4,1701.0,1687.5,1699.2
18,Gold,GC,2012-12-17,-1.541720607273163,1699.4,1704.4,1662.0,1673.2
19,Gold,GC,2012-12-18,-0.11961722488038617,1672.0,1677.8,1664.2,1670.0
20,Gold,GC,2012-12-19,-1.1570049757208807,1668.1,1672.8,1636.0,1648.8
21,Gold,GC,2012-12-20,0.47910728364364275,1648.9,1660.5,1636.3,1656.8
22,Gold,GC,2012-12-23,0.06031363088058583,1658.0,1666.5,1652.7,1659.0
23,Gold,GC,2012-12-25,0.20514058163388427,1657.4,1668.7,1650.6,1660.8
24,Gold,GC,2012-12-26,0.2831495873245302,1659.9,1666.1,1653.1,1664.6
25,Gold,GC,2012-12-27,-0.4986782023552081,1664.4,1667.0,1654.1,1656.1
26,Gold,GC,2012-12-30,1.0930611751917354,1655.9,1681.0,1655.9,1674.0
27,Gold,GC,2012-12-31,-0.017900829405107288,1675.9,1676.6,1675.2,1675.6
28,Gold,GC,2013-01-01,0.5965163445478368,1676.4,1695.4,1670.9,1686.4
29,Gold,GC,2013-01-02,-1.3099401339576673,1687.1,1690.5,1661.2,1665.0
30,Gold,GC,2013-01-03,-0.43862284443909516,1664.3,1664.5,1626.0,1657.0
31,Gold,GC,2013-01-06,-0.49507939382961297,1656.3,1663.0,1642.6,1648.1
32,Gold,GC,2013-01-07,0.7529297467970082,1646.9,1662.7,1646.8,1659.3
33,Gold,GC,2013-01-08,-0.08438309927068133,1659.1,1666.0,1651.3,1657.7
34,Gold,GC,2013-01-09,0.9653092006033148,1657.5,1678.8,1653.8,1673.5
35,Gold,GC,2013-01-10,-0.7581636917198864,1675.1,1676.9,1653.1,1662.4
36,Gold,GC,2013-01-13,0.4398915335944622,1659.5,1674.8,1659.5,1666.8
37,Gold,GC,2013-01-14,0.6956938946863289,1667.4,1684.9,1666.2,1679.0
38,Gold,GC,2013-01-15,0.0655151876116804,1679.0,1684.7,1673.0,1680.1
39,Gold,GC,2013-01-16,0.47633224173861777,1679.5,1697.8,1666.4,1687.5
40,Gold,GC,2013-01-17,-0.2074196989451309,1687.4,1695.1,1683.3,1683.9
41,Gold,GC,2013-01-20,0.1897420693744465,1686.5,1691.1,1684.8,1689.7
42,Gold,GC,2013-01-21,0.12431920435709287,1689.2,1695.9,1686.3,1691.3
43,Gold,GC,2013-01-22,-0.37227441942917494,1692.3,1694.8,1683.1,1686.0
44,Gold,GC,2013-01-23,-1.0619994067042455,1685.5,1685.8,1664.2,1667.6
45,Gold,GC,2013-01-24,-0.5577545879812931,1667.4,1671.6,1655.0,1658.1
46,Gold,GC,2013-01-27,-0.2653959828699044,1657.9,1661.6,1651.0,1653.5
47,Gold,GC,2013-01-28,0.5441683294032202,1653.9,1665.0,1653.5,1662.9
48,Gold,GC,2013-01-29,0.7872123069527106,1664.1,1685.0,1663.5,1677.2
49,Gold,GC,2013-01-30,-0.7394156231365514,1677.0,1681.7,1658.4,1664.6
50,Gold,GC,2013-01-31,0.1981743934662461,1665.2,1683.0,1660.6,1668.5
51,Gold,GC,2013-02-03,0.38344017734108604,1669.1,1678.6,1661.8,1675.5
52,Gold,GC,2013-02-04,-0.089525514771708,1675.5,1687.0,1667.2,1674.0
53,Gold,GC,2013-02-05,0.28086530417114375,1673.4,1680.5,1668.8,1678.1
54,Gold,GC,2013-02-06,-0.3754469606674604,1678.0,1683.9,1663.4,1671.7
55,Gold,GC,2013-02-07,-0.24524464648881406,1671.8,1674.3,1665.8,1667.7
56,Gold,GC,2013-02-10,-1.145152587085562,1667.9,1670.3,1644.1,1648.8
57,Gold,GC,2013-02-11,0.19410408831735992,1648.6,1653.8,1639.5,1651.8
58,Gold,GC,2013-02-12,-0.5748865355521957,1652.5,1655.0,1640.5,1643.0
59,Gold,GC,2013-02-13,-0.49315068493150704,1642.5,1650.0,1632.8,1634.4
60,Gold,GC,2013-02-14,-1.462489291396409,1634.2,1636.0,1596.7,1610.3
61,Gold,GC,2013-02-17,-0.031055900621112187,1610.0,1618.8,1606.7,1609.5
62,Gold,GC,2013-02-18,-0.34167857364727183,1609.7,1614.8,1600.2,1604.2
63,Gold,GC,2013-02-19,-2.4998441493672345,1604.1,1609.2,1558.1,1564.0
64,Gold,GC,2013-02-20,0.7157464212678946,1564.8,1584.4,1554.3,1576.0
65,Gold,GC,2013-02-21,0.21559923906150402,1577.0,1587.0,1569.3,1580.4
66,Gold,GC,2013-02-24,0.9378960709759241,1578.0,1596.5,1574.7,1592.8
67,Gold,GC,2013-02-25,1.3499089596282943,1592.7,1619.7,1583.7,1614.2
68,Gold,GC,2013-02-26,-1.1155180961824414,1613.6,1614.4,1591.4,1595.6
69,Gold,GC,2013-02-27,-1.0962851594311758,1596.3,1602.5,1574.3,1578.8
70,Gold,GC,2013-02-28,-0.17104846373139537,1578.5,1586.9,1564.0,1575.8
71,Gold,GC,2013-03-03,-0.24714828897337782,1578.0,1584.3,1568.7,1574.1
72,Gold,GC,2013-03-04,0.01270486596365572,1574.2,1585.8,1571.1,1574.4
73,Gold,GC,2013-03-05,0.5714648549114116,1574.9,1584.3,1566.4,1583.9
74,Gold,GC,2013-03-06,-0.3914635686324033,1583.8,1584.9,1574.0,1577.6
75,Gold,GC,2013-03-07,0.05071636870799523,1577.4,1583.1,1560.4,1578.2
76,Gold,GC,2013-03-10,0.3236656723995708,1575.7,1582.5,1575.3,1580.8
77,Gold,GC,2013-03-11,0.7150088585168248,1580.4,1597.6,1578.8,1591.7
78,Gold,GC,2013-03-12,-0.358040201005025,1592.0,1598.8,1584.4,1586.3
79,Gold,GC,2013-03-13,0.1386525493161912,1586.7,1592.2,1575.2,1588.9
80,Gold,GC,2013-03-14,0.11954196552157725,1589.4,1597.9,1587.3,1591.3
81,Gold,GC,2013-03-17,0.4445835942392051,1597.0,1610.4,1589.6,1604.1
82,Gold,GC,2013-03-18,0.49884641765916626,1603.7,1615.0,1599.0,1611.7
