,Instrument,Ticker,Date,% change,open,high,low,close
0,Nasdaq 100,NQ,2012-12-05,0.0,2619.0,2619.0,2619.0,2619.0
1,Nasdaq 100,NQ,2012-12-09,0.4576659038901596,2622.0,2634.0,2622.0,2634.0
2,Nasdaq 100,NQ,2012-12-16,0.0,2630.0,2630.0,2630.0,2630.0
3,Nasdaq 100,NQ,2012-12-17,0.0,2697.5,2697.5,2697.5,2697.5
4,Nasdaq 100,NQ,2012-12-18,-0.3056121503982183,2699.5,2705.75,2691.25,2691.25
5,Nasdaq 100,NQ,2012-12-19,0.4857997010463322,2676.0,2689.0,2673.5,2689.0
6,Nasdaq 100,NQ,2012-12-20,0.16021110168692587,2652.75,2657.0,2639.5,2657.0
7,Nasdaq 100,NQ,2012-12-23,-0.009454476694713776,2644.25,2644.25,2644.0,2644.0
8,Nasdaq 100,NQ,2012-12-25,-0.6132075471698073,2650.0,2650.0,2630.0,2633.75
9,Nasdaq 100,NQ,2012-12-26,-0.45679482299200913,2627.0,2627.0,2591.0,2615.0
10,Nasdaq 100,NQ,2012-12-27,-0.8343723026757459,2606.75,2620.0,2585.0,2585.0
11,Nasdaq 100,NQ,2012-12-30,2.793675429236586,2577.25,2652.0,2569.5,2649.25
12,Nasdaq 100,NQ,2013-01-01,1.801381370169878,2678.5,2726.75,2678.5,2726.75
13,Nasdaq 100,NQ,2013-01-02,0.44235554326790805,2712.75,2724.75,2712.75,2724.75
14,Nasdaq 100,NQ,2013-01-03,-0.1652437345083939,2723.25,2727.25,2718.75,2718.75
15,Nasdaq 100,NQ,2013-01-07,0.04617231507987185,2707.25,2709.0,2695.0,2708.5
16,Nasdaq 100,NQ,2013-01-08,0.10124252185917726,2716.25,2722.5,2716.25,2719.0
17,Nasdaq 100,NQ,2013-01-09,0.2573529411764639,2720.0,2727.0,2720.0,2727.0
18,Nasdaq 100,NQ,2013-01-10,0.02741729117163061,2735.5,2736.25,2727.75,2736.25
19,Nasdaq 100,NQ,2013-01-13,-0.621004566210047,2737.5,2740.25,2713.25,2720.5
20,Nasdaq 100,NQ,2013-01-14,-0.2668384247331659,2717.0,2717.0,2702.0,2709.75
21,Nasdaq 100,NQ,2013-01-15,0.5811808118081245,2710.0,2725.75,2710.0,2725.75
