,Instrument,Ticker,Date,% change,open,high,low,close
0,Gold,GC,2013-03-10,0.5509641873278213,1542.75,1551.75,1540.5,1551.25
1,Gold,GC,2013-03-11,-0.24170157911697743,1551.5,1551.5,1541.75,1547.75
2,Gold,GC,2013-03-12,0.19382975286706028,1547.75,1551.25,1542.25,1550.75
3,Gold,GC,2013-03-13,0.29018216991778445,1550.75,1557.25,1549.0,1555.25
4,Gold,GC,2013-03-14,-0.12865873271148587,1554.5,1558.75,1549.0,1552.5
5,Gold,GC,2013-03-17,0.24287564766839864,1544.0,1552.5,1529.5,1547.75
6,Gold,GC,2013-03-18,-0.5008886734529057,1547.25,1551.25,1531.75,1539.5
7,Gold,GC,2013-03-19,0.7308754263439994,1539.25,1555.75,1536.5,1550.5
8,Gold,GC,2013-03-20,-0.6776379477250742,1549.5,1550.75,1536.5,1539.0
9,Gold,GC,2013-03-21,0.991225219369511,1538.5,1554.0,1535.0,1553.75
10,Gold,GC,2013-03-24,-0.09677419354838435,1550.0,1560.5,1539.0,1548.5
11,Gold,GC,2013-03-25,0.6458905215565949,1548.25,1558.75,1546.75,1558.25
12,Gold,GC,2013-03-26,-0.09626183218354356,1558.25,1560.5,1545.75,1556.75
13,Gold,GC,2013-03-27,0.4496547294042017,1556.75,1564.5,1549.75,1563.75
14,Gold,GC,2013-03-31,-0.41586692258476887,1563.0,1565.0,1552.5,1556.5
15,Gold,GC,2013-04-01,0.6265060240963862,1556.25,1568.0,1554.25,1566.0
16,Gold,GC,2013-04-02,-1.0855683269476373,1566.0,1567.75,1544.0,1549.0
17,Gold,GC,2013-04-03,0.3874717468517872,1548.5,1557.5,1546.0,1554.5
18,Gold,GC,2013-04-04,-0.4984724232191695,1554.75,1555.25,1533.25,1547.0
19,Gold,GC,2013-04-07,1.0029116790682622,1545.5,1562.75,1543.0,1561.0
20,Gold,GC,2013-04-08,0.17619734102194684,1560.75,1569.0,1555.5,1563.5
21,Gold,GC,2013-04-09,1.294964028776974,1563.75,1584.5,1561.0,1584.0
22,Gold,GC,2013-04-10,0.3157562361856634,1583.5,1593.0,1580.75,1588.5
23,Gold,GC,2013-04-11,-0.39351487486227654,1588.25,1589.75,1575.0,1582.0
24,Gold,GC,2013-04-14,-2.4964449360088423,1582.25,1583.0,1538.75,1542.75
25,Gold,GC,2013-04-15,1.7666126418152288,1542.5,1570.75,1542.25,1569.75
26,Gold,GC,2013-04-16,-1.561255376772337,1569.25,1569.5,1538.0,1544.75
27,Gold,GC,2013-04-17,-0.4694075752670699,1544.5,1553.5,1530.75,1537.25
28,Gold,GC,2013-04-18,0.748210800260253,1537.0,1550.75,1535.25,1548.5
29,Gold,GC,2013-04-21,0.5973522763965065,1548.5,1561.0,1542.75,1557.75
30,Gold,GC,2013-04-22,1.1719377107079794,1557.25,1577.0,1548.75,1575.5
31,Gold,GC,2013-04-23,0.015888147442012723,1573.5,1579.0,1570.75,1573.75
32,Gold,GC,2013-04-24,0.5244755244755197,1573.0,1588.25,1570.75,1581.25
33,Gold,GC,2013-04-25,-0.3003477711033895,1581.5,1582.5,1572.5,1576.75
34,Gold,GC,2013-04-28,0.808881839809672,1576.25,1592.25,1573.75,1589.0
35,Gold,GC,2013-04-29,0.3462385898646545,1588.5,1594.25,1581.25,1594.0
36,Gold,GC,2013-04-30,-0.941176470588232,1593.75,1595.5,1576.0,1578.75
37,Gold,GC,2013-05-01,0.839005857210708,1579.25,1594.25,1578.75,1592.5
38,Gold,GC,2013-05-02,1.0519704820222984,1592.25,1614.25,1589.5,1609.0
39,Gold,GC,2013-05-05,0.2798072438986452,1608.25,1615.25,1607.25,1612.75
40,Gold,GC,2013-05-06,0.5426356589147332,1612.5,1621.75,1609.25,1621.25
41,Gold,GC,2013-05-07,0.47817368502236945,1620.75,1629.5,1617.0,1628.5
42,Gold,GC,2013-05-08,-0.12283126055581306,1628.25,1632.25,1620.0,1626.25
43,Gold,GC,2013-05-09,0.19987699876999443,1626.0,1631.0,1620.25,1629.25
44,Gold,GC,2013-05-12,0.36917397323489354,1625.25,1633.25,1622.25,1631.25
45,Gold,GC,2013-05-13,1.0884562317951918,1630.75,1648.75,1626.5,1648.5
46,Gold,GC,2013-05-14,0.4704097116843684,1647.5,1659.75,1642.75,1655.25
47,Gold,GC,2013-05-15,-0.36248300860897587,1655.25,1658.75,1646.0,1649.25
48,Gold,GC,2013-05-16,0.9245225826007868,1649.5,1665.75,1648.25,1664.75
49,Gold,GC,2013-05-19,0.09022556390976888,1662.5,1670.75,1659.75,1664.0
50,Gold,GC,2013-05-20,0.1352569882777317,1663.5,1673.25,1660.0,1665.75
51,Gold,GC,2013-05-21,-0.49527239981989624,1665.75,1685.5,1646.5,1657.5
52,Gold,GC,2013-05-22,-0.40723981900453055,1657.5,1659.0,1632.75,1650.75
53,Gold,GC,2013-05-23,-0.07570022710068258,1651.25,1655.25,1634.5,1650.0
54,Gold,GC,2013-05-26,0.15151515151515582,1650.0,1655.5,1644.25,1652.5
55,Gold,GC,2013-05-27,0.21183234982599686,1652.25,1672.75,1651.25,1655.75
56,Gold,GC,2013-05-28,-0.45337766359376985,1654.25,1656.75,1638.0,1646.75
57,Gold,GC,2013-05-29,0.44032796841786137,1646.5,1660.75,1641.0,1653.75
58,Gold,GC,2013-05-30,-1.5873015873015817,1653.75,1658.0,1626.25,1627.5
59,Gold,GC,2013-06-02,0.383553237189318,1629.5,1639.0,1620.75,1635.75
60,Gold,GC,2013-06-03,-0.35152070915482625,1635.75,1645.75,1621.5,1630.0
61,Gold,GC,2013-06-04,-1.2889366272824958,1629.25,1632.25,1605.5,1608.25
62,Gold,GC,2013-06-05,0.8548336959900524,1608.5,1624.25,1596.5,1622.25
63,Gold,GC,2013-06-06,1.0480887792848392,1622.0,1644.0,1618.0,1639.0
64,Gold,GC,2013-06-09,0.3360831041857608,1636.5,1648.5,1634.5,1642.0
65,Gold,GC,2013-06-10,-0.8678440925700386,1642.0,1642.5,1621.75,1627.75
66,Gold,GC,2013-06-11,-1.0906298003072266,1627.5,1638.25,1609.5,1609.75
67,Gold,GC,2013-06-12,1.6607170572714551,1610.75,1639.5,1597.5,1637.5
68,Gold,GC,2013-06-13,-0.842782715292671,1631.5,1635.0,1617.25,1617.75
69,Gold,GC,2013-06-16,1.0193050193050226,1618.75,1641.0,1618.0,1635.25
70,Gold,GC,2013-06-17,0.7340571952897932,1634.75,1648.75,1632.25,1646.75
71,Gold,GC,2013-06-18,-1.5791071970847241,1646.5,1649.0,1620.25,1620.5
72,Gold,GC,2013-06-19,-2.2828937220422603,1620.75,1623.0,1577.0,1583.75
73,Gold,GC,2013-06-20,-0.03156067539845253,1584.25,1597.25,1570.5,1583.75
74,Gold,GC,2013-06-23,-1.120757695343329,1583.75,1586.25,1553.25,1566.0
75,Gold,GC,2013-06-24,0.8937120970315959,1566.5,1587.75,1558.25,1580.5
76,Gold,GC,2013-06-25,1.059958867267838,1580.25,1601.25,1573.0,1597.0
77,Gold,GC,2013-06-26,0.6106153123532181,1596.75,1614.25,1594.75,1606.5
78,Gold,GC,2013-06-27,-0.6225680933852118,1606.25,1614.5,1594.25,1596.25
79,Gold,GC,2013-06-30,0.39056397437900614,1600.25,1620.5,1593.25,1606.5
80,Gold,GC,2013-07-01,0.031118717908825033,1606.75,1618.5,1600.25,1607.25
81,Gold,GC,2013-07-02,0.18668326073428432,1607.0,1613.0,1594.0,1610.0
82,Gold,GC,2013-07-03,0.9167184586699761,1609.0,1624.5,1608.5,1623.75
83,Gold,GC,2013-07-04,0.3387220939183919,1623.75,1630.75,1608.25,1629.25
84,Gold,GC,2013-07-07,0.5373042677310451,1628.5,1639.5,1626.0,1637.25
85,Gold,GC,2013-07-08,0.6262410264243101,1636.75,1649.0,1635.75,1647.0
86,Gold,GC,2013-07-09,0.546448087431699,1647.0,1658.75,1641.25,1656.0
87,Gold,GC,2013-07-10,0.678426051560379,1658.25,1671.75,1657.5,1669.5
88,Gold,GC,2013-07-11,0.05991611743559133,1669.0,1674.25,1666.25,1670.0
89,Gold,GC,2013-07-14,0.4491017964071915,1670.0,1679.5,1669.75,1677.5
90,Gold,GC,2013-07-15,-0.3725227238861635,1677.75,1679.5,1666.5,1671.5
91,Gold,GC,2013-07-16,0.2841333931508956,1671.75,1680.5,1665.75,1676.5
92,Gold,GC,2013-07-17,0.19382734456537776,1676.75,1688.5,1671.75,1680.0
93,Gold,GC,2013-07-18,0.5803571428571388,1680.0,1690.5,1675.25,1689.75
94,Gold,GC,2013-07-21,0.02958579881656931,1690.0,1694.25,1685.5,1690.5
95,Gold,GC,2013-07-22,-0.04436557231588267,1690.5,1695.5,1686.0,1689.75
96,Gold,GC,2013-07-23,-0.3255401006214811,1689.5,1695.25,1677.25,1684.0
97,Gold,GC,2013-07-24,0.13361045130641003,1684.0,1686.5,1671.75,1686.25
98,Gold,GC,2013-07-25,0.07415097137771909,1685.75,1689.0,1670.5,1687.0
99,Gold,GC,2013-07-28,-0.23717758671806166,1686.5,1687.0,1676.5,1682.5
100,Gold,GC,2013-07-29,0.118888393520578,1682.25,1688.5,1677.25,1684.25
101,Gold,GC,2013-07-30,0.07422802850356902,1684.0,1694.0,1680.25,1685.25
102,Gold,GC,2013-07-31,1.008602788490066,1685.5,1703.75,1684.5,1702.5
103,Gold,GC,2013-08-01,0.05874577764723199,1702.25,1705.0,1695.75,1703.25
104,Gold,GC,2013-08-04,-0.05872852738217205,1702.75,1705.0,1698.75,1701.75
105,Gold,GC,2013-08-05,-0.5143277002204201,1701.25,1703.5,1688.75,1692.5
106,Gold,GC,2013-08-06,-0.23630187564613436,1692.75,1693.5,1680.5,1688.75
107,Gold,GC,2013-08-07,0.3404885270170297,1688.75,1697.0,1684.5,1694.5
108,Gold,GC,2013-08-08,-0.5312868949232552,1694.0,1696.25,1682.5,1685.0
109,Gold,GC,2013-08-11,0.19287833827893053,1685.0,1688.5,1675.25,1688.25
110,Gold,GC,2013-08-12,0.16291469194312924,1688.0,1694.5,1679.25,1690.75
111,Gold,GC,2013-08-13,-0.6207508128879624,1691.5,1693.25,1681.0,1681.0
112,Gold,GC,2013-08-14,-1.547158583754836,1680.5,1682.0,1654.25,1654.5
113,Gold,GC,2013-08-15,-0.2719444024777147,1654.75,1662.0,1649.5,1650.25
114,Gold,GC,2013-08-18,-0.43912780133253193,1651.0,1657.0,1642.25,1643.75
115,Gold,GC,2013-08-19,0.4105215143682557,1644.25,1656.75,1641.0,1651.0
116,Gold,GC,2013-08-20,-0.9842519685039406,1651.0,1654.75,1634.0,1634.75
117,Gold,GC,2013-08-21,1.2538226299694202,1635.0,1657.75,1631.5,1655.5
118,Gold,GC,2013-08-22,0.34732709151313657,1655.5,1662.75,1650.5,1661.25
119,Gold,GC,2013-08-25,-0.36128255306337564,1660.75,1667.5,1653.25,1654.75
120,Gold,GC,2013-08-26,-1.601692354185559,1654.5,1655.5,1626.25,1628.0
121,Gold,GC,2013-08-27,0.1381851681252897,1628.25,1639.25,1624.75,1630.5
122,Gold,GC,2013-08-28,0.4753143207605035,1630.5,1644.75,1627.75,1638.25
123,Gold,GC,2013-08-29,-0.4118364856619934,1639.0,1645.0,1625.5,1632.25
124,Gold,GC,2013-09-01,0.33495736906212414,1642.0,1648.5,1640.25,1647.5
125,Gold,GC,2013-09-02,-0.5918057663125893,1647.5,1650.0,1630.75,1637.75
126,Gold,GC,2013-09-03,1.0378510378510413,1638.0,1655.25,1635.0,1655.0
127,Gold,GC,2013-09-04,-0.16618824595860815,1654.75,1658.25,1650.5,1652.0
128,Gold,GC,2013-09-05,0.12106537530266337,1652.0,1664.0,1638.75,1654.0
129,Gold,GC,2013-09-08,1.150121065375302,1652.0,1671.75,1652.0,1671.0
130,Gold,GC,2013-09-09,0.7031717534410546,1671.0,1683.25,1669.0,1682.75
131,Gold,GC,2013-09-10,0.47555357408232624,1682.25,1690.5,1677.75,1690.25
132,Gold,GC,2013-09-11,-0.251516496523152,1689.75,1690.0,1681.25,1685.5
133,Gold,GC,2013-09-12,0.26813645166095057,1678.25,1683.75,1674.0,1682.75
134,Gold,GC,2013-09-15,-0.22150029533372617,1693.0,1703.75,1688.0,1689.25
135,Gold,GC,2013-09-16,0.6068679692125585,1689.0,1699.75,1687.75,1699.25
136,Gold,GC,2013-09-17,1.162277475356774,1699.25,1723.25,1693.25,1719.0
137,Gold,GC,2013-09-18,-0.08728542333430767,1718.5,1726.75,1713.25,1717.0
138,Gold,GC,2013-09-19,-0.7861406318241393,1717.25,1719.5,1701.25,1703.75
139,Gold,GC,2013-09-22,-0.7910928801640722,1706.5,1707.5,1689.5,1693.0
140,Gold,GC,2013-09-23,-0.05905802450908482,1693.25,1701.0,1687.5,1692.25
141,Gold,GC,2013-09-24,-0.3545575417343798,1692.25,1695.0,1684.5,1686.25
142,Gold,GC,2013-09-25,0.4595315742662365,1686.5,1697.5,1685.75,1694.25
143,Gold,GC,2013-09-26,-0.5458837415166755,1694.5,1695.5,1680.0,1685.25
144,Gold,GC,2013-09-29,0.2238805970149258,1675.0,1681.0,1666.75,1678.75
145,Gold,GC,2013-09-30,0.7893952934167459,1678.5,1692.25,1675.25,1691.75
