2013-27-02 23:00:00;131'135;131'230;131'135;131'195
2013-28-02 23:00:00;131'200;131'290;131'180;131'275
2013-03-03 23:00:00;131'280;132'005;131'195;131'205
2013-04-03 23:00:00;131'205;131'230;131'120;131'155
2013-05-03 23:00:00;131'155;131'170;131'040;131'060
2013-06-03 23:00:00;131'065;131'105;130'210;130'220
2013-07-03 23:00:00;130'220;130'235;130'000;130'100
2013-10-03 22:00:00;130'085;130'125;130'025;130'065
2013-11-03 22:00:00;130'070;130'185;130'015;130'160
2013-12-03 22:00:00;130'160;130'210;130'075;130'145
2013-13-03 22:00:00;130'150;130'185;130'035;130'170
2013-14-03 22:00:00;130'160;130'310;130'125;130'295
2013-17-03 22:00:00;131'085;131'215;131'035;131'070
2013-18-03 22:00:00;131'070;131'235;131'025;131'190
2013-19-03 22:00:00;131'195;131'240;131'060;131'060
2013-20-03 22:00:00;131'070;131'175;131'050;131'165
2013-21-03 22:00:00;131'170;131'215;131'085;131'150
2013-24-03 22:00:00;131'145;131'240;131'030;131'170
2013-25-03 22:00:00;131'165;131'235;131'100;131'215
2013-26-03 22:00:00;131'215;132'100;131'190;132'040
2013-27-03 22:00:00;132'040;132'110;131'285;131'300
2013-31-03 22:00:00;131'235;132'080;131'235;132'060
2013-01-04 22:00:00;132'060;132'080;131'290;132'000
2013-02-04 22:00:00;132'000;132'170;131'265;132'130
2013-03-04 22:00:00;132'145;132'280;132'105;132'255
2013-04-04 22:00:00;132'260;133'115;132'205;133'005
2013-07-04 22:00:00;133'020;133'055;132'235;132'245
2013-08-04 22:00:00;132'245;133'005;132'215;132'250
2013-09-04 22:00:00;132'260;132'275;132'110;132'135
2013-10-04 22:00:00;132'135;132'210;132'105;132'180
2013-11-04 22:00:00;132'175;133'010;132'165;133'005
2013-14-04 22:00:00;133'000;133'090;132'280;133'075
2013-15-04 22:00:00;133'065;133'085;132'255;132'295
2013-16-04 22:00:00;132'290;133'095;132'265;133'030
2013-17-04 22:00:00;133'030;133'075;132'300;133'040
2013-18-04 22:00:00;133'035;133'040;132'290;132'310
2013-21-04 22:00:00;132'305;133'080;132'245;133'035
2013-22-04 22:00:00;133'030;133'155;133'000;133'005
2013-23-04 22:00:00;133'010;133'065;132'280;133'010
2013-24-04 22:00:00;133'015;133'045;132'285;133'030
2013-25-04 22:00:00;133'025;133'150;133'015;133'140
2013-28-04 22:00:00;133'120;133'175;133'110;133'140
2013-29-04 22:00:00;133'135;133'240;133'110;133'115
