,Date,open,high,low,close
0,2013-03-07,143.28,143.45,142.64,142.91
1,2013-03-08,142.78,142.95,142.27,142.72
2,2013-03-11,142.72,142.87,142.51,142.52
3,2013-03-12,142.6,143.21,142.52,143.03
4,2013-03-13,143.0,143.37,142.92,143.09
5,2013-03-14,143.12,143.24,142.82,143.13
6,2013-03-15,143.1,143.54,143.0,143.43
7,2013-03-18,144.41,144.69,143.87,144.06
8,2013-03-19,144.05,144.82,143.98,144.68
9,2013-03-20,144.64,144.64,143.95,144.14
10,2013-03-21,144.2,144.66,144.04,144.58
11,2013-03-22,144.71,144.83,144.21,144.35
12,2013-03-25,144.01,144.93,143.91,144.72
13,2013-03-26,144.65,144.9,144.49,144.84
14,2013-03-27,144.93,145.67,144.83,145.64
15,2013-03-28,145.67,145.87,145.34,145.43
16,2013-04-02,145.58,145.63,145.1,145.24
17,2013-04-03,145.25,145.65,145.13,145.57
18,2013-04-04,145.59,146.08,145.45,146.05
19,2013-04-05,145.97,146.54,145.82,146.29
20,2013-04-08,146.31,146.34,145.85,145.85
21,2013-04-09,145.87,146.06,145.51,145.62
22,2013-04-10,145.65,145.68,145.15,145.15
23,2013-04-11,145.24,145.5,144.93,145.23
24,2013-04-12,145.29,145.98,145.27,145.88
25,2013-04-15,145.9,146.22,145.63,146.17
26,2013-04-16,146.01,146.11,145.55,145.65
27,2013-04-17,145.76,146.36,145.35,146.17
28,2013-04-18,146.2,146.39,145.86,146.22
29,2013-04-19,146.15,146.21,145.85,146.12
30,2013-04-22,145.95,146.43,145.72,146.21
31,2013-04-23,146.35,146.77,145.91,146.0
32,2013-04-24,145.92,146.29,145.62,146.25
33,2013-04-25,146.16,146.37,146.04,146.27
34,2013-04-26,146.37,146.63,146.29,146.5
35,2013-04-29,146.59,146.74,146.27,146.52
36,2013-04-30,146.55,146.87,146.39,146.48
37,2013-05-02,146.73,147.2,146.17,146.98
38,2013-05-03,146.95,147.11,146.0,146.14
39,2013-05-06,146.15,146.36,145.97,146.04
40,2013-05-07,146.18,146.27,145.37,145.55
41,2013-05-08,145.47,145.9,145.42,145.79
42,2013-05-09,145.82,146.23,145.77,145.81
43,2013-05-10,145.65,145.66,144.43,144.67
44,2013-05-13,144.43,145.07,144.43,144.82
45,2013-05-14,144.84,144.99,144.22,144.33
46,2013-05-15,144.53,145.01,144.33,144.8
47,2013-05-16,144.84,145.36,144.53,145.2
48,2013-05-17,145.25,145.74,145.13,145.14
49,2013-05-20,145.09,145.33,144.65,144.85
50,2013-05-21,144.86,144.92,144.25,144.64
51,2013-05-22,144.65,145.2,144.26,144.3
52,2013-05-23,144.61,145.15,144.31,144.51
53,2013-05-24,144.54,144.83,144.12,144.47
54,2013-05-27,144.49,144.65,144.25,144.27
55,2013-05-28,144.15,144.38,143.58,143.59
56,2013-05-29,143.3,143.73,143.25,143.57
57,2013-05-30,143.6,143.86,143.47,143.77
58,2013-05-31,143.79,144.38,143.43,143.74
59,2013-06-03,143.83,143.84,142.98,143.45
60,2013-06-04,143.38,143.55,143.13,143.46
61,2013-06-05,143.5,143.87,143.26,143.85
62,2013-06-06,143.76,144.13,143.15,143.75
63,2013-06-07,143.88,144.15,143.19,143.24
64,2013-06-10,143.24,143.69,142.6,142.72
65,2013-06-11,142.73,142.87,142.02,142.87
66,2013-06-12,142.65,142.95,142.46,142.65
67,2013-06-13,143.0,143.44,142.91,143.39
68,2013-06-14,143.46,143.94,143.38,143.73
69,2013-06-17,143.62,143.99,143.48,143.64
70,2013-06-18,143.56,143.68,143.13,143.35
71,2013-06-19,143.35,143.74,142.35,142.4
72,2013-06-20,142.03,142.6,141.84,142.17
73,2013-06-21,141.94,142.09,141.07,141.15
74,2013-06-24,140.85,141.01,139.9,140.47
75,2013-06-25,140.76,141.01,140.17,140.36
76,2013-06-26,140.45,141.34,140.45,141.02
77,2013-06-27,140.95,141.9,140.82,141.64
78,2013-06-28,141.65,141.85,140.97,141.41
79,2013-07-01,141.3,141.67,141.0,141.58
80,2013-07-02,141.57,142.18,141.43,142.12
81,2013-07-03,142.1,142.64,142.05,142.05
82,2013-07-04,142.07,143.01,142.0,142.39
83,2013-07-05,142.27,142.42,141.39,141.53
84,2013-07-08,141.68,142.0,141.54,141.98
85,2013-07-09,141.93,142.69,141.85,142.68
86,2013-07-10,142.78,142.87,142.35,142.46
87,2013-07-11,143.11,143.24,142.69,143.01
88,2013-07-12,143.1,143.84,143.09,143.74
89,2013-07-15,143.66,143.68,143.23,143.46
90,2013-07-16,143.42,143.8,143.24,143.74
91,2013-07-17,143.81,143.98,143.27,143.92
92,2013-07-18,143.95,144.35,143.93,144.06
93,2013-07-19,144.24,144.37,143.99,144.16
94,2013-07-22,144.28,144.35,144.06,144.25
95,2013-07-23,144.25,144.31,143.56,143.84
96,2013-07-24,143.86,143.94,142.31,142.58
97,2013-07-25,142.47,142.8,142.16,142.63
98,2013-07-26,142.61,142.75,142.17,142.53
99,2013-07-29,142.57,142.73,142.23,142.46
100,2013-07-30,142.46,142.57,142.25,142.44
101,2013-07-31,142.47,142.96,141.82,142.81
102,2013-08-01,142.67,143.29,142.25,142.32
103,2013-08-02,142.3,142.82,141.67,142.82
104,2013-08-05,142.73,142.96,142.11,142.26
105,2013-08-06,142.15,142.27,141.86,142.08
106,2013-08-07,142.13,142.55,141.83,142.4
107,2013-08-08,142.46,142.71,142.04,142.14
108,2013-08-09,142.1,142.52,142.01,142.49
109,2013-08-12,142.44,142.44,141.91,142.07
110,2013-08-13,141.9,141.93,140.63,140.82
111,2013-08-14,140.76,141.11,140.56,140.85
112,2013-08-15,140.95,141.01,139.83,140.21
113,2013-08-16,140.08,140.38,139.72,139.96
114,2013-08-19,139.77,140.24,139.71,139.96
115,2013-08-20,140.25,140.68,140.14,140.66
116,2013-08-21,140.52,140.71,139.96,139.96
117,2013-08-22,139.8,139.98,139.46,139.78
118,2013-08-23,139.77,139.85,139.06,139.6
119,2013-08-26,139.65,140.15,139.57,140.01
120,2013-08-27,140.0,140.95,139.93,140.94
121,2013-08-28,140.79,140.92,140.14,140.3
122,2013-08-29,140.28,140.83,140.06,140.68
123,2013-08-30,140.6,140.94,140.4,140.4
124,2013-09-02,140.32,140.34,139.79,140.09
125,2013-09-03,140.16,140.27,139.55,139.87
126,2013-09-04,139.74,139.96,139.51,139.55
127,2013-09-05,137.4,137.46,136.44,136.45
128,2013-09-06,136.42,137.77,136.42,137.53
129,2013-09-09,137.53,137.75,137.36,137.47
130,2013-09-10,137.2,137.29,136.6,136.65
131,2013-09-11,136.71,137.35,136.71,137.33
132,2013-09-12,137.46,137.94,137.4,137.59
133,2013-09-13,137.29,138.16,137.17,137.94
134,2013-09-16,138.48,138.66,138.13,138.16
135,2013-09-17,138.3,138.47,138.0,138.06
136,2013-09-18,138.1,139.19,137.59,139.04
137,2013-09-19,139.45,139.5,138.44,138.49
138,2013-09-20,138.6,138.88,138.13,138.51
139,2013-09-23,138.55,138.8,138.02,138.79
140,2013-09-24,138.79,139.75,138.7,139.69
141,2013-09-25,139.65,139.99,139.55,139.95
142,2013-09-26,139.86,140.09,139.71,139.84
143,2013-09-27,139.81,140.54,139.74,140.37
144,2013-09-30,140.78,140.87,140.22,140.65
145,2013-10-01,140.44,140.61,140.07,140.19
146,2013-10-02,140.2,140.46,139.91,140.17
147,2013-10-03,140.17,140.47,139.75,140.21
148,2013-10-04,140.19,140.35,139.81,139.89
149,2013-10-07,140.09,140.45,140.04,140.23
150,2013-10-08,140.23,140.34,139.96,140.29
151,2013-10-09,140.26,140.65,140.11,140.15
152,2013-10-10,139.93,140.12,139.51,139.69
153,2013-10-11,139.81,139.87,139.47,139.63
154,2013-10-14,139.78,139.91,139.29,139.39
155,2013-10-15,139.4,139.55,139.07,139.21
156,2013-10-16,139.17,139.35,138.79,139.33
157,2013-10-17,139.5,139.77,139.26,139.67
158,2013-10-18,139.7,140.24,139.58,140.06
159,2013-10-21,140.07,140.12,139.82,139.89
160,2013-10-22,139.91,140.64,139.78,140.56
161,2013-10-23,140.7,140.91,140.55,140.77
162,2013-10-24,140.71,141.22,140.7,140.74
163,2013-10-25,140.87,141.12,140.84,141.09
164,2013-10-28,140.93,141.23,140.92,141.08
165,2013-10-29,141.09,141.45,140.94,141.42
166,2013-10-30,141.52,141.9,141.42,141.46
167,2013-10-31,141.56,142.32,141.52,142.01
168,2013-11-01,142.06,142.19,141.69,141.77
169,2013-11-04,141.84,142.08,141.83,141.91
170,2013-11-05,141.88,141.97,141.11,141.32
171,2013-11-06,141.38,141.44,141.06,141.12
172,2013-11-07,141.2,142.1,141.05,141.89
173,2013-11-08,141.92,141.95,140.87,140.97
174,2013-11-11,141.08,141.26,140.93,140.98
175,2013-11-12,140.97,140.99,140.53,140.62
176,2013-11-13,140.71,141.4,140.66,141.34
177,2013-11-14,141.49,141.78,141.39,141.7
178,2013-11-15,141.67,141.74,141.35,141.71
179,2013-11-18,141.69,141.95,141.45,141.94
180,2013-11-19,141.85,141.91,141.33,141.34
181,2013-11-20,141.31,141.6,140.81,140.82
182,2013-11-21,140.77,141.04,140.56,140.89
183,2013-11-22,141.01,141.11,140.69,141.05
184,2013-11-25,140.86,141.38,140.84,141.36
185,2013-11-26,141.39,141.78,141.28,141.66
186,2013-11-27,141.64,141.75,141.37,141.59
187,2013-11-28,141.56,141.7,141.14,141.7
188,2013-11-29,141.69,141.88,141.51,141.64
189,2013-12-02,141.57,141.64,141.05,141.14
190,2013-12-03,141.17,141.42,140.94,141.27
191,2013-12-04,141.23,141.24,140.26,140.35
192,2013-12-05,140.47,140.6,139.65,139.73
193,2013-12-06,139.59,140.15,139.46,140.02
194,2013-12-09,140.12,140.24,139.94,140.05
195,2013-12-10,140.09,140.4,140.03,140.25
196,2013-12-11,140.2,140.47,140.11,140.22
197,2013-12-12,140.16,140.42,139.97,140.23
198,2013-12-13,140.18,140.38,140.01,140.33
199,2013-12-16,140.48,140.59,140.14,140.21
200,2013-12-17,140.23,140.43,140.12,140.42
201,2013-12-18,140.39,140.49,139.92,140.13
202,2013-12-19,140.15,140.25,139.63,139.88
203,2013-12-20,139.81,139.96,139.43,139.87
204,2013-12-23,139.76,139.93,139.62,139.74
205,2013-12-27,139.56,139.63,138.83,138.92
206,2013-12-30,138.74,139.25,138.69,139.25
207,2014-01-02,138.69,139.22,138.68,139.16
208,2014-01-03,139.1,139.25,138.94,139.11
209,2014-01-06,139.09,139.63,139.08,139.62
210,2014-01-07,139.65,139.85,139.5,139.81
211,2014-01-08,139.76,139.92,139.43,139.5
212,2014-01-09,139.55,139.83,139.25,139.63
213,2014-01-10,139.62,140.37,139.58,140.36
214,2014-01-13,140.34,140.91,140.19,140.89
215,2014-01-14,140.77,140.83,140.5,140.5
216,2014-01-15,140.55,140.8,140.38,140.59
217,2014-01-16,140.59,141.23,140.57,141.15
218,2014-01-17,141.16,141.57,141.15,141.57
219,2014-01-20,141.49,141.76,141.41,141.62
220,2014-01-21,141.46,141.78,141.3,141.69
221,2014-01-22,141.56,141.73,141.36,141.41
222,2014-01-23,141.53,142.45,141.37,142.36
223,2014-01-24,142.33,142.9,142.21,142.79
224,2014-01-27,142.64,142.69,142.4,142.43
225,2014-01-28,142.43,142.63,142.26,142.61
226,2014-01-29,142.37,143.3,142.25,143.28
227,2014-01-30,143.1,143.42,142.93,143.3
228,2014-01-31,143.43,144.06,143.36,144.05
229,2014-02-06,144.02,144.06,143.27,143.38
230,2014-02-07,143.32,144.14,143.32,143.82
231,2014-02-10,143.9,143.94,143.56,143.72
232,2014-02-11,143.59,143.69,143.39,143.6
233,2014-02-12,143.56,143.66,143.09,143.19
234,2014-02-13,143.39,143.98,143.36,143.8
235,2014-02-14,143.83,143.84,143.49,143.61
236,2014-02-18,143.5,143.96,143.43,143.85
237,2014-02-19,143.81,144.29,143.72,143.78
238,2014-02-20,143.88,144.24,143.41,143.55
239,2014-02-21,143.45,143.95,143.45,143.9
240,2014-02-24,143.98,144.02,143.52,143.62
241,2014-02-25,143.67,144.12,143.49,144.06
242,2014-02-26,143.97,144.8,143.9,144.77
243,2014-02-27,144.64,145.33,144.58,145.17
244,2014-02-28,145.1,145.2,144.18,144.59
245,2014-03-03,144.96,145.42,144.83,145.29
246,2014-03-04,144.98,145.0,144.61,144.62
247,2014-03-05,142.74,142.82,142.45,142.76
248,2014-03-06,142.67,142.68,141.93,142.17
249,2014-03-07,142.22,142.46,141.81,142.26
250,2014-03-10,142.35,142.6,142.12,142.42
251,2014-03-11,142.39,142.68,142.07,142.41
252,2014-03-12,142.45,143.11,142.42,142.87
253,2014-03-13,142.81,143.79,142.79,143.7
254,2014-03-14,143.75,143.97,143.36,143.43
255,2014-03-17,143.36,143.55,143.13,143.19
256,2014-03-18,143.27,143.46,143.08,143.24
257,2014-03-19,143.26,143.28,142.32,142.54
258,2014-03-20,142.6,142.65,142.1,142.39
259,2014-03-21,142.37,142.59,142.32,142.54
260,2014-03-24,142.37,143.18,142.22,143.12
261,2014-03-25,143.08,143.32,143.04,143.16
262,2014-03-26,143.18,143.6,143.16,143.5
263,2014-03-27,143.49,143.92,143.46,143.69
264,2014-03-28,143.68,144.08,143.42,143.64
265,2014-03-31,143.55,143.68,143.02,143.5
266,2014-04-01,143.39,143.41,143.12,143.27
267,2014-04-02,143.23,143.24,142.72,142.83
268,2014-04-03,142.84,142.99,142.49,142.9
269,2014-04-04,142.87,143.7,142.62,143.62
270,2014-04-07,143.66,143.79,143.34,143.57
271,2014-04-08,143.5,143.69,143.36,143.59
272,2014-04-09,143.49,143.54,143.15,143.42
273,2014-04-10,143.57,144.05,143.51,143.85
274,2014-04-11,143.78,144.32,143.72,144.23
275,2014-04-14,144.29,144.3,143.82,143.88
276,2014-04-15,143.89,144.64,143.83,144.45
277,2014-04-16,144.39,144.48,144.22,144.37
278,2014-04-17,144.44,144.48,143.65,143.76
279,2014-04-22,143.85,143.99,143.62,143.84
280,2014-04-23,143.86,144.08,143.65,143.86
281,2014-04-24,143.85,144.17,143.55,143.93
282,2014-04-25,143.98,144.51,143.97,144.32
283,2014-04-28,144.29,144.43,144.1,144.21
284,2014-04-29,144.18,144.3,143.8,144.26
285,2014-04-30,144.33,144.73,144.0,144.64
286,2014-05-02,144.75,144.97,144.11,144.77
287,2014-05-05,144.83,144.92,144.62,144.63
288,2014-05-06,144.62,144.78,144.41,144.7
289,2014-05-07,144.78,144.89,144.29,144.51
290,2014-05-08,144.55,144.96,144.34,144.84
291,2014-05-09,144.92,145.03,144.71,144.83
292,2014-05-12,144.73,144.84,144.62,144.7
293,2014-05-13,144.68,145.33,144.65,145.26
294,2014-05-14,145.27,145.97,145.25,145.83
295,2014-05-15,145.77,146.75,145.73,146.68
296,2014-05-16,146.63,146.76,146.25,146.27
297,2014-05-19,146.34,146.58,146.07,146.09
298,2014-05-20,146.1,146.34,145.95,146.25
299,2014-05-21,146.29,146.32,145.75,145.92
300,2014-05-22,145.74,146.24,145.67,146.03
301,2014-05-23,146.0,146.2,145.95,146.02
302,2014-05-26,146.06,146.21,145.85,146.01
303,2014-05-27,146.03,146.54,145.9,146.42
304,2014-05-28,146.51,147.09,146.41,147.01
305,2014-05-29,147.09,147.12,146.65,146.67
306,2014-05-30,146.63,146.84,146.52,146.84
307,2014-06-02,146.73,147.04,146.52,146.69
308,2014-06-03,146.72,146.72,145.95,145.97
309,2014-06-04,146.06,146.26,145.81,145.85
310,2014-06-05,144.82,145.22,144.03,145.16
311,2014-06-06,145.26,145.99,145.16,145.65
312,2014-06-09,145.52,145.76,145.33,145.44
313,2014-06-10,145.56,145.57,144.94,144.97
314,2014-06-11,144.89,145.3,144.58,145.04
315,2014-06-12,144.97,145.63,144.9,145.53
316,2014-06-13,145.34,145.65,144.91,145.55
317,2014-06-16,145.65,145.81,145.51,145.63
318,2014-06-17,145.66,145.72,145.02,145.1
319,2014-06-18,145.14,145.68,144.91,145.63
320,2014-06-19,145.77,146.33,145.71,145.93
321,2014-06-20,146.05,146.08,145.66,145.9
322,2014-06-23,145.81,146.26,145.72,145.98
323,2014-06-24,146.02,146.3,145.99,146.29
