,Date,Price Gold,Price Nasdaq100,Price S&P500,Price DAX,Price Euro Bund
0,2012-11-21,1730.7,,,,
1,2012-11-22,1731.7,,,,
2,2012-11-25,1754.7,,,,
3,2012-11-26,1751.6,,,,
4,2012-11-27,1744.0,,,,
5,2012-11-28,1721.9,,,,
6,2012-11-29,1727.7,,,,
7,2012-12-02,1715.5,,,,
8,2012-12-03,1717.7,,,,
9,2012-12-04,1699.1,,,,
10,2012-12-05,1695.1,2619.0,,,
11,2012-12-06,1701.0,,,,
12,2012-12-09,1705.4,2622.0,,,
13,2012-12-10,1714.1,,,,
14,2012-12-11,1711.3,,,,
15,2012-12-12,1712.8,,,,
16,2012-12-13,1698.3,,,,
17,2012-12-16,1698.4,2630.0,,,
18,2012-12-17,1699.4,2697.5,,,
19,2012-12-18,1672.0,2699.5,,,
20,2012-12-19,1668.1,2676.0,,,
21,2012-12-20,1648.9,2652.75,,,
22,2012-12-23,1658.0,2644.25,,,
23,2012-12-25,1657.4,2650.0,,,
24,2012-12-26,1659.9,2627.0,,,
25,2012-12-27,1664.4,2606.75,,,
26,2012-12-30,1655.9,2577.25,,,
27,2012-12-31,1675.9,,,,
28,2013-01-01,1676.4,2678.5,,,
29,2013-01-02,1687.1,2712.75,,,
30,2013-01-03,1664.3,2723.25,,,
31,2013-01-06,1656.3,,,,
32,2013-01-07,1646.9,2707.25,,,
33,2013-01-08,1659.1,2716.25,,,
34,2013-01-09,1657.5,2720.0,,,
35,2013-01-10,1675.1,2735.5,,,
36,2013-01-13,1659.5,2737.5,,,
37,2013-01-14,1667.4,2717.0,,,
38,2013-01-15,1679.0,2710.0,,,
39,2013-01-16,1679.5,2737.0,,,
40,2013-01-17,1687.4,2728.75,,,
41,2013-01-20,1686.5,2732.0,,,
42,2013-01-21,1689.2,2723.0,,,
43,2013-01-22,1692.3,2749.25,,,
44,2013-01-23,1685.5,2707.0,,,
45,2013-01-24,1667.4,,,,
46,2013-01-27,1657.9,2721.25,,,
47,2013-01-28,1653.9,2730.75,,,
48,2013-01-29,1664.1,2728.75,,,
49,2013-01-30,1677.0,2733.5,,,
50,2013-01-31,1665.2,2724.75,,,
51,2013-02-03,1669.1,2743.75,,,
52,2013-02-04,1675.5,2707.5,,,
53,2013-02-05,1673.4,2747.5,,,
54,2013-02-06,1678.0,2731.25,,,
55,2013-02-07,1671.8,2734.25,,,
56,2013-02-10,1667.9,2771.5,,,
57,2013-02-11,1648.6,2763.25,,,
58,2013-02-12,1652.5,2760.5,,,
59,2013-02-13,1642.5,2760.25,,,
60,2013-02-14,1634.2,2759.75,,,
61,2013-02-17,1610.0,2756.0,,,
62,2013-02-18,1609.7,2758.5,,,
63,2013-02-19,1604.1,2777.0,,,
64,2013-02-20,1564.8,2731.75,,,
65,2013-02-21,1577.0,2719.25,,,
66,2013-02-24,1578.0,2727.75,,,
67,2013-02-25,1592.7,2696.5,,,
68,2013-02-26,1613.6,2705.0,,,
69,2013-02-27,1596.3,2739.5,,,
70,2013-02-28,1578.5,2732.0,,,
71,2013-03-03,1578.0,2739.5,,,
72,2013-03-04,1574.2,2755.75,,,
73,2013-03-05,1574.9,2795.0,,,
74,2013-03-06,1583.8,2789.25,,,
75,2013-03-07,1577.4,2794.5,,,143.28
